LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
A287,Valvula ext. Perkins 6-354. 1966/77. Ref. 3174512.,34464.64,
A288,Pat1n Freno trasero Ford 500 y F 600.,25903.36,
A289,Perno Freno anclaje Mercedes Benz 608.,5246.53,
A290,Resorte de conjunto biceptor Bedford.,4280.64,
A291,Patín Freno trasero Mercedes Benz 1112- 1114.,86395.56,
A292,Patín Freno delantero Mercedes Benz 1112- 1114.,133743.07,
A293,Placa Embrague M.Benz 1112-1114. iny. dir. reforz.,23927.68,
A294,Patín Freno del. y tras. M. Benz 608. largo.,17925.71,
A295,Patín Freno del. M. Benz 1112- 1114. Aire orig.,62972.33,
A296,Pedal de freno Mercedes Benz 3500.,34919.31,
A297,Pedal Embrague Mercedes Benz 321.,58821.20,
A298,Manguera acoplado Mercedes Benz.,91002.95,
A299,Pulmon trasero M. Benz Bendix. Scania.eq. reforma.,45043.82,
A300,Pulmon del. y tras. M. Benz 3500. Eq. con reformas,57452.42,
A301,Registro. patín trasero. corto M. Benz 312- 911. Delantero y trasero 1112 -1114.,48294.40,
A302,Registro patín largo M. Benz 3500- 4500- 911- 312.,50489.60,
A303,Bulón corredera dínamo Mercedes Benz 1112-1114-321,51587.20,
A304,Patin Freno del. y tras. M. Benz 3500- 4500 centro,11496.08,
A305,Patín Freno aire del. y tras. M. Benz. Eq. reforma,37676.47,
A306,Patín Freno del. y tras. M. Benz. eq. ref.(viejos),38614.18,
A307,Horquilla Embrague Mercedes Benz 312- 911- 3500.,34919.31,
A308,Placa Embrague M. Benz 1112- 1114. Iny.dir.(corto),23269.12,
A309,Patín Freno sup. del y tras. M. Benz 608 (mediano),16078.28,
A310,Patin Freno carroceria Prati - El Detalle- Montenegro.,56517.50,
A311,Patín Freno acoplado Salto. M. Benz. Bedford 350.,57452.42,
A312,Freno Original M. Benz 1114 78 al 88. Bedford 350.,56517.50,
A313,Acelerador Perkins (largo).,13799.78,
A314,"Retorno zapata Freno Ford 700- F 600 modelo 68/77, Delantero s/aire Chev, 350- C30.",67554.53,
A315,Patin Freno trasero inferior Renault Fuego y R 18.,7823.61,
A316,Patín Freno delantero Citroen y Ami 8.,12408.60,
A317,Patín Freno trasero corto Ford 600.,19750.76,
A318,Patín Freno trasero Ford 350.,20685.67,
A319,Freno de mano izquierdo Ford Taunus.,9648.65,
A320,Pedal Embrague Citroen 18 HP.,21126.95,
A321,Acelerador Citroen y Ami 8.,9219.84,
A322,Resorte guia cremallera Citroen.,4280.64,
A323,Resorte para varilla Acelerador Citroen 14 HP.,7823.61,
A324,Patín trasero Ford Fairlane 69.,15622.02,
A325,Calefacción Citroen 3 CV.,7823.61,
A326,Seguro leva de encendido Citroen.,363.89,
A327,Pedal Embrague y Freno Citroen 14 HP.,9192.39,
A328,Pedal Embrague y Freno Citroen 3 CV.,12408.60,
A329,Freno de mano Rastrojero.,8736.13,
A330,Acelerador Rastrojero mod. 68/71.,11496.08,
A331,Horquilla Embrague Fiat 125- 1500- 1600.,11195.52,
A332,Soporte pastilla Freno a disco Fiat 1500-1600-125. Peugeot 404- 504.,7344.95,
A333,Anclaje zapata Freno tras. F600 mod. 64/77 y Dodge,43652.64,
A334,Patín delantero Bedford. modelo 60/68.,21141.93,
A335,Registro patín Freno Ford 600- F700 mod. l966/72.,14685.89,
A336,"Patin inf. Freno mano M. Benz 1114.Pedalera freno/emb.Ford Falcon,super reforzado.",53301.29,
A337,Freno de mano derecho Ford Taunus.,10536.96,
A338,Conjunto biceptor freno Bedford.,10536.96,
A339,Valvula Perkins 3-152. 4-203. 6-305 mod. l960/77. interior. Ref. Original 0780007.,14466.37,
A340,Valvula Ford Taunus motor 2000- 2300 desde l978. Ref. Original 77 BR 65 BA,39294.08,
A341,"Valvula interior Ika torino motor 7 bdas.1974/77, Ref. Original 2214289.",23708.16,
A342,Valvula exterior Peugeot 403- 404 naftero 1960/77. Ref. Original 812138015.,37098.88,
A343,Valvula interior Peugeot 403- 404 naftero l960/77. Ref. Original 812139015.,22830.08,
A344,Valvula Renault 11. ref. orig. 770065195.,28098.56,
A345,"Valvula F. Sierra motor 1,6. Ref. orig. 79HN 6513",31171.84,
A346,"Valvula F.Sierra XR4 motor 2,3. N.LE2TE 6A511A2A.",36220.80,
A347,Valvula Volkswagen Gacel exterior.,26561.92,
A348,Valvula Volkswagen Gacel interior.,16968.90,
A349,Valvula Ford Spring.,43025.92,
A350,"Retorno zapata Ford. Leva accionamiento aire. Patin Dodge del. Y tras. Freno aire,",30732.80,
A351,Cerradura puerta izquierda Fiat 128.,9192.38,
A352,Cerradura puerta derecha Fiat 128.,9192.39,
A353,Valvula Peugeot 504 mod. 69/77. Exterior. Ref. Original 0812032.,32708.48,
A354,Patín Freno superior trasero Volkswagen Gacel.,23901.89,
A355,Patín Freno inferior trasero Volkswagen gacel.,20229.41,
A356,Cuña ajuste Patín Freno trasero Volkswagen Gacel.,5976.17,
A357,Patín Freno trasero Volkswagen Gacel.,13592.64,
A358,Retorno varilla Acelerador Volkswagen Gacel.,9648.65,
A359,Clip eje valancín de valvula Volks.Gacel y Kombi.,7823.61,
A360,Patín Freno Mercedes Benz 1517. Delant. y trasero.,64794.57,
A361,Cerradura Volkswagen gacel derecha.,5976.17,
A362,Cerradura Volkswagen gacel izquierda.,5976.17,
A363,Patín Freno trasero Renault 11. Inferior.,12453.39,
